source,target,value
Anaheim,Magnolia grandiflora,5266
Anaheim,Washingtonia robusta,4379
Anaheim,Lagerstroemia indica,3771
Anaheim,Cinnamomum camphora,2567
Anaheim,Pinus canariensis,2317
Anaheim,Lophostemon confertus,1609
Anaheim,Liquidambar styraciflua,1491
Anaheim,Platanus acerifolia,1264
Anaheim,Pistacia chinensis,1123
Anaheim,Ulmus parvifolia,852
Anaheim,Celtis sinensis,335
Anaheim,Tristaniopsis laurina,322
Anaheim,Pyrus calleryana,320
Anaheim,Metrosideros excelsa,179
California,Anaheim,25795
SanJose,Platanus acerifolia,26291
SanJose,Pistacia chinensis,24316
SanJose,Lagerstroemia indica,21636
SanJose,Liquidambar styraciflua,14644
SanJose,Pyrus calleryana,9631
SanJose,Magnolia grandiflora,7080
SanJose,Washingtonia robusta,5116
SanJose,Cinnamomum camphora,4835
SanJose,Ulmus parvifolia,2607
SanJose,Celtis sinensis,2356
SanJose,Pinus canariensis,1582
SanJose,Tristaniopsis laurina,1479
SanJose,Lophostemon confertus,289
SanJose,Metrosideros excelsa,1
California,SanJose,121863
SanFrancisco,Platanus acerifolia,11925
SanFrancisco,Metrosideros excelsa,8681
SanFrancisco,Tristaniopsis laurina,8509
SanFrancisco,Lophostemon confertus,8236
SanFrancisco,Magnolia grandiflora,7793
SanFrancisco,Pyrus calleryana,4036
SanFrancisco,Ulmus parvifolia,2485
SanFrancisco,Liquidambar styraciflua,1592
SanFrancisco,Washingtonia robusta,967
SanFrancisco,Pistacia chinensis,412
SanFrancisco,Pinus canariensis,350
SanFrancisco,Celtis sinensis,222
SanFrancisco,Cinnamomum camphora,141
SanFrancisco,Lagerstroemia indica,102
California,SanFrancisco,55451
Sacramento,Platanus acerifolia,14111
Sacramento,Pistacia chinensis,4580
Sacramento,Pyrus calleryana,4285
Sacramento,Lagerstroemia indica,4146
Sacramento,Ulmus parvifolia,4047
Sacramento,Liquidambar styraciflua,1933
Sacramento,Washingtonia robusta,1535
Sacramento,Magnolia grandiflora,1151
Sacramento,Celtis sinensis,996
Sacramento,Cinnamomum camphora,773
California,Sacramento,37557
Stockton,Pistacia chinensis,11392
Stockton,Platanus acerifolia,7552
Stockton,Lagerstroemia indica,7354
Stockton,Celtis sinensis,7179
Stockton,Pyrus calleryana,5296
Stockton,Liquidambar styraciflua,4110
Stockton,Magnolia grandiflora,3762
Stockton,Cinnamomum camphora,1670
Stockton,Washingtonia robusta,780
Stockton,Pinus canariensis,779
Stockton,Ulmus parvifolia,353
Stockton,Tristaniopsis laurina,164
Stockton,Metrosideros excelsa,1
California,Stockton,50392
